author_name,book_url,category_name,crawl_time,is_vip,monthly_ticket_count,rank,reward_count,sign_status,source_site,status,sub_category_name,synopsis,title,total_recommend_str,total_recommendation_count,week_recommend,week_recommendation_count,word_count,word_count_str,ticket_per_10k,heat_ratio,loyalty_score,status_score,sentiment_score,cut_synopsis,topic_id
鹤守月满池,https://www.qidian.com/book/1043182343/,玄幻,2025-12-17 17:26:51,True,87493,1,112,签约,qidian_cookie_detail,连载,东方玄幻,吕阳穿越修仙界，却成了魔门初圣宗的弟子。幸得异宝【百世书】，死后可以重开一世，让一切从头再来，还能带回前世的宝物，修为，寿命，甚至觉醒特殊的天赋。奈何次数有限，并非真的不死不灭。眼见修仙界乱世将至，吕阳原本决定先在魔门苟住，一世世苦修，不成仙不出山，奈何魔门凶险异常，遍地都是人材。第一世，吕阳惨遭师姐暗算。第二世，好不容易反杀师姐，又遭师兄毒手。第三世，第四世……直到百世之后，再回首，吕阳才发现自己已经成为了一代魔道巨擘，初圣宗里最畜生的那一个。“魔门个个都是人材，说话又好听。”“我超喜欢这里的！”,苟在初圣魔门当人材,149.33万,1493300,13154,13154,2970800,297.08万,293.521873322598,0.0088086728663544,0.0012800877774475,1.0,0.9999999965316329,吕阳 穿越 修仙 却成 魔门 初圣宗 弟子 幸得 异宝 百世 死后 可以 重开 一世 一切 从头再来 带回 前世 宝物 修为 寿命 甚至 觉醒 特殊 天赋 奈何 次数 有限 并非 真的 不死 不灭 眼见 修仙 乱世 吕阳 原本 决定 魔门 苟住 一世 苦修 成仙 出山 奈何 魔门 凶险 异常 遍地 人材 第一 吕阳 惨遭 师姐 暗算 第二 好不容易 反杀 师姐 师兄 毒手 第三 第四 直到 百世 之后 再回首 吕阳 发现自己 已经 成为 一代 巨擘 初圣宗里 畜生 魔门 个个 人材 说话 好听 我超 喜欢 这里,1
辰东,https://www.qidian.com/book/1040765595/,玄幻,2025-12-17 17:26:51,True,52102,2,79,签约,qidian_cookie_detail,连载,东方玄幻,那一天太阳落下再也没有升起…………………,夜无疆,817.67万,8176700,34647,34647,2597300,259.73万,199.8312430483642,0.0042372834716592,0.0015162274725063,1.0,0.9348330687606993,一天 太阳 落下 再也 升起,0
关关公子,https://www.qidian.com/book/1039457453/,玄幻,2025-12-17 17:26:51,True,15436,3,38,签约,qidian_cookie_detail,连载,东方玄幻,“事情是这样的，我当初身陷绝境，意外遇见了一条龙，它非说我是习武奇才，要给我指条通仙大道……”“这就是你挖开魔神陵，给妖魔当奴仆的理由？！”“我谢尽欢从不屈居人下，它才是奴仆，准确来说，我是被一条龙服务过……”……已有完本万订《世子很凶》《仙子很凶》《女侠且慢》，感兴趣的朋友可以先看老书~,鸣龙,159.86万,1598600,8520,8520,1824800,182.48万,84.1290603880532,0.0053296601215687,0.0024616181900628,1.0,0.9999623621071501,事情 这样 当初 身陷 绝境 意外 遇见 一条龙 习武 奇才 指条 通仙 大道 就是 挖开 魔神 妖魔 奴仆 理由 我谢 尽欢 从不 屈居人 奴仆 准确 来说 一条龙 服务 已有 完本 万订 世子 仙子 女侠 且慢 感兴趣 朋友 可以 先看 老书,3
在水中的纸老虎,https://www.qidian.com/book/1045003390/,玄幻,2025-12-17 17:26:51,True,17418,4,6,签约,qidian_cookie_detail,连载,东方玄幻,命格在手，苟道求生！陈庆穿越了，却穿进一个武道为尊、人命贱如草的乱世。开局便是哑子湾的贫苦渔家子，父亲被抓徭役杳无音信，孤儿寡母被官府税赋与帮派“龙王香火”层层盘剥，挣扎在饿死的边缘。天无绝人之路，他脑海中悬着一道【命格：天道酬勤，必有所成】！这意味着任何技艺，对他而言没有资质门槛，没有瓶颈阻隔，只要付出，必有回报！,苟在武道世界成圣,21.58万,215799,2861,2861,1896100,189.61万,91.3803053355018,0.0132576459684893,0.0003444514610482,1.0,0.9999998696804374,命格 在手 苟道 求生 陈庆 穿越 武道 人命 贱如草 乱世 开局 便是 哑子 贫苦 渔家 父亲 徭役 杳无音信 孤儿寡母 官府 税赋 帮派 龙王 香火 层层 盘剥 挣扎 饿死 边缘 天无绝人之路 脑海中 悬着 一道 命格 天道酬勤 有所 意味着 任何 技艺 而言 资质 门槛 瓶颈 阻隔 只要 付出 必有 回报,4
甲壳蚁,https://www.qidian.com/book/1037570737/,玄幻,2025-12-17 17:26:51,True,14590,5,14,签约,qidian_cookie_detail,连载,东方玄幻,【已有完结七千均大精品，品质保障，放心阅读。】选择大于努力！武师们为陆地宝树打的头破血流，深水神草却无人问津。穿越成渔民的梁渠获得水泽之鼎，炼化【水猴子】天赋，统御水兽，一路收割，踏上巅峰！【水猴子】→【泽狨】→【水王猿】→【淮涡水君】！从此万里泽涛由我做主！…………洪水滔滔。人们跪拜祈福，献上祭品。“求水神大人保佑......”靠，能不能别向我祭祀少女了，我真不是水神啊！,从水猴子开始成神,155.45万,1554500,4358,4358,3632600,363.26万,40.05380771976061,0.0028034719823274,0.0009594955794667,1.0,0.9999999825196778,已有 完结 七千 精品 品质 保障 放心 阅读 选择 大于 努力 武师 陆地 宝树 头破血流 深水 神草 无人问津 穿越 渔民 梁渠 获得 水泽 之鼎 炼化 猴子 天赋 统御 水兽 一路 收割 踏上 巅峰 猴子 水王 淮涡 水君 从此 万里 泽涛 做主 洪水 滔滔 人们 跪拜 祈福 献上 祭品 水神 大人 保佑 ...... 不能 别向 祭祀 少女 不是 水神,2
苍天霸主,https://www.qidian.com/book/1038440253/,玄幻,2025-12-17 17:26:52,True,1985,6,11,签约,qidian_cookie_detail,连载,东方玄幻,（又名《玄灵天帝》方辰）”江凡，我后悔了！“当许怡宁发现，自己宁死不嫁的窝囊未婚夫，娶了姐姐，将她培养成一代女帝时，她后悔了。如果时间可以重来，她一定不会任性的让姐姐替嫁！,太虚至尊,27.82万,278200,1415,1415,4673000,467.3万,4.238735853085629,0.0050862505886032,0.0055387713997985,1.0,0.9422138617892576,又名 玄灵 天帝 方辰 江凡 后悔 当许 怡宁 发现 宁死 不嫁 窝囊 未婚夫 姐姐 培养 一代 女帝 后悔 如果 时间 可以 一定 不会 任性 姐姐,3
会说话的肘子,https://www.qidian.com/book/1033014772/,玄幻,2025-12-17 17:26:52,True,14523,7,27,签约,qidian_cookie_detail,连载,东方玄幻,少时光阴长，泼酒翻红巷。权为砖墙利为瓦，宾朋倚满帐。醒来恨日短，大梦二十转。忽觉同行常八九，真心无二三。噫吁兮，听雪孤舟上，坐看天地远。,青山,218.87万,2188700,4501,4501,1749800,174.98万,82.52642345721105,0.0020564709386983,0.0018589920132194,1.0,0.9081990431397273,少时 光阴 泼酒 翻红 权为 砖墙 利为 宾朋 倚满 醒来 二十 忽觉 同行 八九 真心 二三 听雪 孤舟 天地,1
烟雨江南,https://www.qidian.com/book/1038996214/,玄幻,2025-12-17 17:26:52,True,14444,8,19,签约,qidian_cookie_detail,连载,东方玄幻,卫渊本无大志，但在时代洪流中不得不走上征战四方、开疆辟土之路，直至关山踏尽，未曾白头。不正经的简介一：仙人也怕工业化！这是一个发生在玄幻世界的工业革命的故事。,龙藏,173.18万,1731800,5421,5421,3287200,328.72万,43.806866432124224,0.0031302672766674,0.0013153340256143,1.0,0.9999630621840393,卫渊本 大志 时代 洪流 不得不 走上 征战 四方 开疆辟土 直至 关山 踏尽 未曾 白头 不正经 简介 仙人 工业化 这是 发生 玄幻 世界 工业革命 故事,4
误道者,https://www.qidian.com/book/1037676014/,玄幻,2025-12-17 17:26:52,True,7239,9,9,签约,qidian_cookie_detail,连载,东方玄幻,如果人类的生命可以一直强大下去，无限拔高，那终有一日能与天相接！…………《天人图谱》书友群，群号：（535311175）,天人图谱,323.34万,3233399,5943,5943,5225500,522.55万,13.826759621812627,0.0018380033401373,0.0012430939226519,1.0,0.9992986019643588,如果 人类 生命 可以 一直 强大 下去 无限 拔高 那终 一日 相接 图谱 书友 群号 535311175,2
宅猪,https://www.qidian.com/book/1039994731/,玄幻,2025-12-17 17:26:52,True,4378,10,5,签约,qidian_cookie_detail,连载,东方玄幻,我的爷爷很古怪，他每天给自己上香，站在自己的灵位前吃蜡烛。村里的人都很怕爷爷。我也很怕爷爷。后来我才发现，他们害怕的不是爷爷，而是我。爷爷也很怕我。……我叫陈实。诚实的陈，老实的实。来阅文旗下网站阅读我的更多作品吧！,大道之上,308.41万,3084100,3417,3417,3237000,323.7万,13.483215275639052,0.0011079403690086,0.0011418131993605,1.0,0.9964372568328131,爷爷 古怪 每天 灵位 蜡烛 村里 爷爷 爷爷 后来 发现 他们 害怕 不是 爷爷 而是 爷爷 陈实 诚实 老实 阅文 旗下 网站 阅读 作品,4
